box_id,sku,product_name,quantity,unit,category,weight,received_date
BOX-Rack-A1-L1-P1,SKU-1004,Wireless Mouse,58,each,Electronics,0.3,2026-02-07
BOX-Rack-A1-L1-P1,SKU-2008,Dinner Plates 12pk,47,pack,Home Goods,8,2026-02-02
BOX-Rack-A1-L1-P2,SKU-2004,Bedding Set Queen,13,set,Home Goods,7,2026-02-14
BOX-Rack-A1-L1-P2,SKU-1001,Laptop Computer,19,each,Electronics,5.5,2026-01-10
BOX-Rack-A1-L1-P3,SKU-2007,Cookware Set,11,set,Home Goods,15,2025-12-30
BOX-Rack-A1-L1-P3,SKU-1007,USB Cable Pack,84,pack,Electronics,0.2,2025-12-23
BOX-Rack-A1-L2-P1,SKU-1003,Smartphone,50,each,Electronics,0.4,2026-01-22
BOX-Rack-A1-L2-P1,SKU-2006,Kitchen Knife Set,11,set,Home Goods,4.8,2026-01-20
BOX-Rack-A1-L2-P2,SKU-2008,Dinner Plates 12pk,26,pack,Home Goods,8,2025-12-26
BOX-Rack-A1-L2-P3,SKU-1001,Laptop Computer,20,each,Electronics,5.5,2026-02-08
BOX-Rack-A1-L2-P3,SKU-2009,Wall Clock,53,each,Home Goods,2.5,2026-02-10
BOX-Rack-A1-L3-P1,SKU-1004,Wireless Mouse,97,each,Electronics,0.3,2025-12-24
BOX-Rack-A1-L3-P2,SKU-1006,Monitor 24inch,17,each,Electronics,12,2026-01-25
BOX-Rack-A1-L3-P2,SKU-1003,Smartphone,24,each,Electronics,0.4,2026-01-14
BOX-Rack-A1-L3-P3,SKU-1003,Smartphone,48,each,Electronics,0.4,2026-01-22
BOX-Rack-A1-L3-P3,SKU-2003,Toaster,38,each,Home Goods,4.5,2026-01-07
BOX-Rack-A2-L1-P1,SKU-2007,Cookware Set,9,set,Home Goods,15,2026-02-15
BOX-Rack-A2-L1-P2,SKU-2004,Bedding Set Queen,9,set,Home Goods,7,2026-02-13
BOX-Rack-A2-L1-P2,SKU-2005,Throw Pillows 4pk,47,pack,Home Goods,3.2,2026-01-13
BOX-Rack-A2-L1-P3,SKU-1004,Wireless Mouse,52,each,Electronics,0.3,2026-01-10
BOX-Rack-A2-L1-P3,SKU-2001,Coffee Maker,26,each,Home Goods,8.5,2025-12-29
BOX-Rack-A2-L2-P1,SKU-1002,Tablet Device,32,each,Electronics,1.2,2025-12-29
BOX-Rack-A2-L2-P1,SKU-2002,Blender,13,each,Home Goods,6.2,2026-02-03
BOX-Rack-A2-L2-P2,SKU-1007,USB Cable Pack,104,pack,Electronics,0.2,2025-12-28
BOX-Rack-A2-L2-P3,SKU-1002,Tablet Device,36,each,Electronics,1.2,2026-01-30
BOX-Rack-A2-L2-P3,SKU-1001,Laptop Computer,11,each,Electronics,5.5,2026-02-04
BOX-Rack-A2-L3-P1,SKU-1008,Headphones,42,each,Electronics,0.6,2026-01-06
BOX-Rack-A2-L3-P1,SKU-1007,USB Cable Pack,132,pack,Electronics,0.2,2026-01-20
BOX-Rack-A2-L3-P2,SKU-1007,USB Cable Pack,64,pack,Electronics,0.2,2026-01-11
BOX-Rack-A2-L3-P2,SKU-1004,Wireless Mouse,59,each,Electronics,0.3,2026-01-01
BOX-Rack-A2-L3-P3,SKU-1004,Wireless Mouse,76,each,Electronics,0.3,2026-02-05
BOX-Rack-A3-L1-P1,SKU-2004,Bedding Set Queen,15,set,Home Goods,7,2026-02-06
BOX-Rack-A3-L1-P2,SKU-2006,Kitchen Knife Set,14,set,Home Goods,4.8,2026-02-07
BOX-Rack-A3-L1-P2,SKU-2010,Table Lamp,24,each,Home Goods,5.5,2025-12-28
BOX-Rack-A3-L1-P3,SKU-2008,Dinner Plates 12pk,39,pack,Home Goods,8,2026-01-12
BOX-Rack-A3-L2-P1,SKU-1003,Smartphone,35,each,Electronics,0.4,2025-12-24
BOX-Rack-A3-L2-P1,SKU-1004,Wireless Mouse,86,each,Electronics,0.3,2026-02-03
BOX-Rack-A3-L2-P2,SKU-1004,Wireless Mouse,90,each,Electronics,0.3,2026-02-01
BOX-Rack-A3-L2-P3,SKU-1001,Laptop Computer,10,each,Electronics,5.5,2026-01-02
BOX-Rack-A3-L2-P3,SKU-2003,Toaster,20,each,Home Goods,4.5,2026-01-14
BOX-Rack-A3-L3-P1,SKU-1007,USB Cable Pack,70,pack,Electronics,0.2,2026-02-05
BOX-Rack-A3-L3-P2,SKU-2009,Wall Clock,28,each,Home Goods,2.5,2026-02-13
BOX-Rack-A3-L3-P2,SKU-1003,Smartphone,26,each,Electronics,0.4,2026-01-02
BOX-Rack-A3-L3-P3,SKU-1003,Smartphone,38,each,Electronics,0.4,2025-12-23
BOX-Rack-A4-L1-P1,SKU-1004,Wireless Mouse,71,each,Electronics,0.3,2026-01-04
BOX-Rack-A4-L1-P2,SKU-2002,Blender,35,each,Home Goods,6.2,2026-02-06
BOX-Rack-A4-L1-P3,SKU-1001,Laptop Computer,18,each,Electronics,5.5,2026-01-30
BOX-Rack-A4-L1-P3,SKU-1008,Headphones,70,each,Electronics,0.6,2025-12-23
BOX-Rack-A4-L2-P1,SKU-1002,Tablet Device,21,each,Electronics,1.2,2026-02-02
BOX-Rack-A4-L2-P2,SKU-2010,Table Lamp,32,each,Home Goods,5.5,2025-12-30
BOX-Rack-A4-L2-P3,SKU-1007,USB Cable Pack,127,pack,Electronics,0.2,2026-01-14
BOX-Rack-A4-L3-P1,SKU-1003,Smartphone,25,each,Electronics,0.4,2026-01-14
BOX-Rack-A4-L3-P2,SKU-2006,Kitchen Knife Set,13,set,Home Goods,4.8,2026-01-23
BOX-Rack-A4-L3-P2,SKU-2005,Throw Pillows 4pk,19,pack,Home Goods,3.2,2026-01-11
BOX-Rack-A4-L3-P3,SKU-1003,Smartphone,38,each,Electronics,0.4,2025-12-29
BOX-Rack-A4-L3-P3,SKU-1002,Tablet Device,33,each,Electronics,1.2,2026-01-09
BOX-Rack-A5-L1-P1,SKU-1001,Laptop Computer,16,each,Electronics,5.5,2026-02-16
BOX-Rack-A5-L1-P1,SKU-2005,Throw Pillows 4pk,30,pack,Home Goods,3.2,2026-01-29
BOX-Rack-A5-L1-P2,SKU-2002,Blender,17,each,Home Goods,6.2,2026-01-26
BOX-Rack-A5-L1-P3,SKU-2003,Toaster,40,each,Home Goods,4.5,2026-02-14
BOX-Rack-A5-L1-P3,SKU-2006,Kitchen Knife Set,21,set,Home Goods,4.8,2026-02-08
BOX-Rack-A5-L2-P1,SKU-2007,Cookware Set,14,set,Home Goods,15,2026-02-05
BOX-Rack-A5-L2-P2,SKU-2002,Blender,38,each,Home Goods,6.2,2025-12-23
BOX-Rack-A5-L2-P2,SKU-1003,Smartphone,56,each,Electronics,0.4,2026-01-26
BOX-Rack-A5-L2-P3,SKU-1005,Keyboard,71,each,Electronics,1.8,2025-12-27
BOX-Rack-A5-L2-P3,SKU-1009,Webcam HD,44,each,Electronics,0.8,2026-01-26
BOX-Rack-A5-L3-P1,SKU-2009,Wall Clock,29,each,Home Goods,2.5,2026-02-03
BOX-Rack-A5-L3-P2,SKU-1006,Monitor 24inch,12,each,Electronics,12,2026-01-06
BOX-Rack-A5-L3-P2,SKU-2003,Toaster,17,each,Home Goods,4.5,2025-12-27
BOX-Rack-A5-L3-P3,SKU-2009,Wall Clock,31,each,Home Goods,2.5,2026-01-22
BOX-Rack-A5-L3-P3,SKU-1008,Headphones,29,each,Electronics,0.6,2026-01-10
BOX-Rack-A6-L1-P1,SKU-2004,Bedding Set Queen,13,set,Home Goods,7,2026-01-18
BOX-Rack-A6-L1-P1,SKU-2001,Coffee Maker,22,each,Home Goods,8.5,2026-02-07
BOX-Rack-A6-L1-P2,SKU-2004,Bedding Set Queen,10,set,Home Goods,7,2026-01-17
BOX-Rack-A6-L1-P3,SKU-1002,Tablet Device,39,each,Electronics,1.2,2025-12-31
BOX-Rack-A6-L2-P1,SKU-2004,Bedding Set Queen,16,set,Home Goods,7,2026-01-20
BOX-Rack-A6-L2-P2,SKU-1003,Smartphone,18,each,Electronics,0.4,2026-01-06
BOX-Rack-A6-L2-P2,SKU-1007,USB Cable Pack,129,pack,Electronics,0.2,2026-02-11
BOX-Rack-A6-L2-P3,SKU-1003,Smartphone,38,each,Electronics,0.4,2026-01-24
BOX-Rack-A6-L2-P3,SKU-2007,Cookware Set,21,set,Home Goods,15,2026-01-27
BOX-Rack-A6-L3-P1,SKU-1001,Laptop Computer,12,each,Electronics,5.5,2026-02-02
BOX-Rack-A6-L3-P2,SKU-1005,Keyboard,61,each,Electronics,1.8,2026-01-10
BOX-Rack-A6-L3-P2,SKU-1010,Power Bank,96,each,Electronics,0.9,2025-12-22
BOX-Rack-A6-L3-P3,SKU-1008,Headphones,34,each,Electronics,0.6,2026-01-14
BOX-Rack-A6-L3-P3,SKU-2004,Bedding Set Queen,8,set,Home Goods,7,2026-02-13
BOX-Rack-B1-L1-P1,SKU-1005,Keyboard,32,each,Electronics,1.8,2025-12-31
