timestamp,entity_type,entity_id,zone,x,y,z,status,task,assigned_to,battery_level,speed,metadata
2026-04-15T10:15:00Z,worker,W-001,Zone-A,60,50,0,active,receiving,,,,"{""shift"": ""morning""}"
2026-04-15T10:15:00Z,worker,W-002,Zone-A,75,65,0,active,unloading,,,,"{""shift"": ""morning""}"
2026-04-15T10:15:00Z,worker,W-003,Zone-B,180,45,0,active,stocking,Wave-20,,,"{""shift"": ""morning""}"
2026-04-15T10:15:00Z,worker,W-004,Zone-B,220,55,0,active,organizing,,,,"{""shift"": ""morning""}"
2026-04-15T10:15:00Z,worker,W-005,Zone-B,300,60,0,active,picking,Order-6001,,,"{""sku"": ""4472"", ""qty"": 24}"
2026-04-15T10:15:00Z,worker,W-006,Zone-B,360,70,0,active,picking,Order-6002,,,"{""sku"": ""3301"", ""qty"": 12}"
2026-04-15T10:15:00Z,worker,W-007,Zone-D,510,55,0,active,staging,Order-6001,,,"{}"
2026-04-15T10:15:00Z,worker,W-008,Zone-D,530,65,0,active,loading,Shipment-101,,,"{}"
2026-04-15T10:15:00Z,worker,W-009,Dock-5,585,68,0,active,loading,Shipment-101,,,"{}"
2026-04-15T10:15:00Z,worker,W-010,Dock-5,585,72,0,active,loading,Shipment-102,,,"{}"
2026-04-15T10:15:00Z,forklift,FL-01,Zone-A,65,40,0,moving,transporting,Wave-20,85,3.2,"{""load_weight"": 800}"
2026-04-15T10:15:00Z,forklift,FL-02,Zone-B,250,75,0,moving,transporting,Wave-21,72,2.8,"{""load_weight"": 1200}"
2026-04-15T10:15:00Z,forklift,FL-03,Dock-5,580,70,0,moving,loading,Shipment-101,45,1.5,"{""load_weight"": 600}"
2026-04-15T10:15:00Z,forklift,FL-04,Zone-D,540,65,0,moving,transporting,Shipment-103,88,2.2,"{""load_weight"": 750}"
2026-04-15T10:15:00Z,pallet,PLT-5501,Dock-5,582,68,0,staged,awaiting_shipment,Shipment-101,,,"{""sku"": ""4472"", ""qty"": 48}"
2026-04-15T10:15:00Z,pallet,PLT-5502,Dock-5,582,70,0,staged,awaiting_shipment,Shipment-101,,,"{""sku"": ""3301"", ""qty"": 36}"
2026-04-15T10:15:00Z,pallet,PLT-5503,Dock-5,582,72,0,staged,awaiting_shipment,Shipment-102,,,"{""sku"": ""7788"", ""qty"": 60}"
2026-04-15T10:15:00Z,pallet,PLT-5504,Dock-5,582,74,0,staged,awaiting_shipment,Shipment-102,,,"{""sku"": ""2210"", ""qty"": 72}"
2026-04-15T10:15:00Z,pallet,PLT-5505,Dock-5,582,68,0,staged,awaiting_shipment,Shipment-103,,,"{""sku"": ""5512"", ""qty"": 48}"
2026-04-15T10:15:00Z,pallet,PLT-5506,Zone-D,520,60,0,staged,awaiting_shipment,Shipment-103,,,"{""sku"": ""1123"", ""qty"": 30}"
2026-04-15T10:15:00Z,pallet,PLT-5507,Zone-D,530,62,0,staged,awaiting_shipment,Shipment-104,,,"{""sku"": ""9987"", ""qty"": 24}"
2026-04-15T10:15:00Z,inventory,INV-2001,Rack-B1,180,35,6,stored,available,,,,"{""sku"": ""2210"", ""qty"": 100, ""level"": 3}"
2026-04-15T10:15:00Z,inventory,INV-2002,Rack-B3,180,65,12,stored,available,,,,"{""sku"": ""7788"", ""qty"": 75, ""level"": 5}"
