box_id,rack_id,level,position,x,y,z,status,capacity_used,last_updated
BOX-Rack-A1-L1-P1,Rack-A1,1,1,138.50,35.00,1.43,stored,85,2026-01-17T14:29:48.116Z
BOX-Rack-A1-L1-P2,Rack-A1,1,2,140.00,35.00,1.43,stored,89,2026-01-07T14:29:48.116Z
BOX-Rack-A1-L1-P3,Rack-A1,1,3,141.50,35.00,1.43,stored,83,2026-02-05T14:29:48.116Z
BOX-Rack-A1-L3-P1,Rack-A1,2,1,138.50,35.00,7.14,stored,69,2026-01-14T14:29:48.118Z
BOX-Rack-A1-L3-P2,Rack-A1,2,2,140.00,35.00,7.14,stored,61,2026-01-09T14:29:48.119Z
BOX-Rack-A1-L3-P3,Rack-A1,2,3,141.50,35.00,7.14,stored,69,2026-01-31T14:29:48.119Z
BOX-Rack-A1-L6-P1,Rack-A1,3,1,138.50,35.00,15.71,stored,83,2026-01-20T14:29:48.119Z
BOX-Rack-A1-L6-P2,Rack-A1,3,2,140.00,35.00,15.71,stored,61,2026-01-12T14:29:48.119Z
BOX-Rack-A1-L6-P3,Rack-A1,3,3,141.50,35.00,15.71,stored,75,2026-01-17T14:29:48.119Z
BOX-Rack-A2-L1-P1,Rack-A2,1,1,138.50,50.00,1.43,stored,63,2026-01-15T14:29:48.119Z
BOX-Rack-A2-L1-P2,Rack-A2,1,2,140.00,50.00,1.43,stored,77,2026-01-18T14:29:48.119Z
BOX-Rack-A2-L1-P3,Rack-A2,1,3,141.50,50.00,1.43,stored,84,2026-01-15T14:29:48.119Z
BOX-Rack-A2-L3-P1,Rack-A2,2,1,138.50,50.00,7.14,stored,67,2026-02-04T14:29:48.119Z
BOX-Rack-A2-L3-P2,Rack-A2,2,2,140.00,50.00,7.14,stored,65,2026-01-22T14:29:48.119Z
BOX-Rack-A2-L3-P3,Rack-A2,2,3,141.50,50.00,7.14,stored,68,2026-01-14T14:29:48.119Z
BOX-Rack-A2-L6-P1,Rack-A2,3,1,138.50,50.00,15.71,stored,60,2026-01-19T14:29:48.119Z
BOX-Rack-A2-L6-P3,Rack-A2,3,3,141.50,50.00,15.71,stored,70,2026-01-26T14:29:48.119Z
BOX-Rack-A2-L7-P2,Rack-A2,3,2,140.00,50.00,18.57,stored,61,2026-02-03T14:29:48.119Z
BOX-Rack-A3-L1-P2,Rack-A3,1,2,140.00,65.00,1.43,stored,88,2026-01-09T14:29:48.119Z
BOX-Rack-A3-L1-P3,Rack-A3,1,3,141.50,65.00,1.43,stored,87,2026-01-26T14:29:48.119Z
BOX-Rack-A3-L2-P1,Rack-A3,1,1,138.50,65.00,4.29,stored,61,2026-01-29T14:29:48.119Z
BOX-Rack-A3-L3-P1,Rack-A3,2,1,138.50,65.00,7.14,stored,84,2026-01-28T14:29:48.119Z
BOX-Rack-A3-L3-P2,Rack-A3,2,2,140.00,65.00,7.14,stored,65,2026-01-23T14:29:48.120Z
BOX-Rack-A3-L3-P3,Rack-A3,2,3,141.50,65.00,7.14,stored,71,2026-01-12T14:29:48.120Z
BOX-Rack-A3-L6-P1,Rack-A3,3,1,138.50,65.00,15.71,stored,64,2026-01-10T14:29:48.120Z
BOX-Rack-A3-L6-P2,Rack-A3,3,2,140.00,65.00,15.71,stored,80,2026-01-09T14:29:48.120Z
BOX-Rack-A3-L7-P3,Rack-A3,3,3,141.50,65.00,18.57,stored,75,2026-01-20T14:29:48.120Z
BOX-Rack-A4-L1-P1,Rack-A4,1,1,138.50,80.00,1.43,stored,60,2026-01-27T14:29:48.120Z
BOX-Rack-A4-L1-P2,Rack-A4,1,2,140.00,80.00,1.43,stored,75,2026-02-05T14:29:48.120Z
BOX-Rack-A4-L1-P3,Rack-A4,1,3,141.50,80.00,1.43,stored,70,2026-01-31T14:29:48.120Z
BOX-Rack-A4-L3-P1,Rack-A4,2,1,138.50,80.00,7.14,stored,78,2026-02-03T14:29:48.120Z
BOX-Rack-A4-L3-P2,Rack-A4,2,2,140.00,80.00,7.14,stored,87,2026-01-30T14:29:48.120Z
BOX-Rack-A4-L3-P3,Rack-A4,2,3,141.50,80.00,7.14,stored,82,2026-01-22T14:29:48.120Z
BOX-Rack-A4-L6-P1,Rack-A4,3,1,138.50,80.00,15.71,stored,76,2026-01-10T14:29:48.120Z
BOX-Rack-A4-L6-P2,Rack-A4,3,2,140.00,80.00,15.71,stored,88,2026-01-21T14:29:48.120Z
BOX-Rack-A4-L7-P3,Rack-A4,3,3,141.50,80.00,18.57,stored,61,2026-01-20T14:29:48.120Z
BOX-Rack-A5-L1-P1,Rack-A5,1,1,138.50,95.00,1.43,stored,67,2026-01-27T14:29:48.120Z
BOX-Rack-A5-L1-P3,Rack-A5,1,3,141.50,95.00,1.43,stored,74,2026-01-12T14:29:48.120Z
BOX-Rack-A5-L2-P2,Rack-A5,1,2,140.00,95.00,4.29,stored,75,2026-01-14T14:29:48.120Z
BOX-Rack-A5-L3-P1,Rack-A5,2,1,138.50,95.00,7.14,stored,63,2026-01-23T14:29:48.120Z
BOX-Rack-A5-L3-P2,Rack-A5,2,2,140.00,95.00,7.14,stored,80,2026-01-09T14:29:48.120Z
BOX-Rack-A5-L3-P3,Rack-A5,2,3,141.50,95.00,7.14,stored,87,2026-01-26T14:29:48.120Z
BOX-Rack-A5-L6-P3,Rack-A5,3,3,141.50,95.00,15.71,stored,88,2026-01-12T14:29:48.120Z
BOX-Rack-A5-L7-P1,Rack-A5,3,1,138.50,95.00,18.57,stored,66,2026-01-27T14:29:48.120Z
BOX-Rack-A6-L1-P3,Rack-A6,1,3,141.50,110.00,1.43,stored,73,2026-01-17T14:29:48.120Z
BOX-Rack-A6-L2-P1,Rack-A6,1,1,138.50,110.00,4.29,stored,77,2026-01-12T14:29:48.120Z
BOX-Rack-A6-L2-P2,Rack-A6,1,2,140.00,110.00,4.29,stored,76,2026-02-04T14:29:48.120Z
BOX-Rack-A6-L3-P1,Rack-A6,2,1,138.50,110.00,7.14,stored,63,2026-01-17T14:29:48.120Z
BOX-Rack-A6-L3-P2,Rack-A6,2,2,140.00,110.00,7.14,stored,66,2026-01-20T14:29:48.120Z
