box_id,sku,product_name,quantity,unit,category,weight,received_date
BOX-Rack-A1-L1-P1,SKU-1001,Laptop Computer,13,each,Electronics,5.5,2026-02-06
BOX-Rack-A1-L1-P2,SKU-2007,Cookware Set,9,set,Home Goods,15,2025-12-27
BOX-Rack-A1-L1-P2,SKU-1006,Monitor 24inch,19,each,Electronics,12,2026-01-08
BOX-Rack-A1-L1-P3,SKU-1001,Laptop Computer,18,each,Electronics,5.5,2025-12-31
BOX-Rack-A1-L2-P1,SKU-2003,Toaster,15,each,Home Goods,4.5,2026-01-01
BOX-Rack-A1-L2-P2,SKU-2009,Wall Clock,44,each,Home Goods,2.5,2026-01-29
BOX-Rack-A1-L2-P2,SKU-1007,USB Cable Pack,142,pack,Electronics,0.2,2026-01-14
BOX-Rack-A1-L2-P3,SKU-2004,Bedding Set Queen,15,set,Home Goods,7,2026-02-05
BOX-Rack-A1-L3-P1,SKU-2001,Coffee Maker,16,each,Home Goods,8.5,2025-12-14
BOX-Rack-A1-L3-P2,SKU-2004,Bedding Set Queen,6,set,Home Goods,7,2025-12-28
BOX-Rack-A1-L3-P2,SKU-1004,Wireless Mouse,37,each,Electronics,0.3,2026-01-27
BOX-Rack-A1-L4-P1,SKU-3010,Jumper Cables,23,each,Automotive,4,2026-01-25
BOX-Rack-A1-L4-P2,SKU-1006,Monitor 24inch,16,each,Electronics,12,2026-01-30
BOX-Rack-A1-L4-P2,SKU-3001,Motor Oil 5qt,33,bottle,Automotive,10.5,2026-01-30
BOX-Rack-A1-L4-P3,SKU-1008,Headphones,33,each,Electronics,0.6,2025-12-13
BOX-Rack-A1-L5-P1,SKU-3008,Tool Set 52pc,17,set,Automotive,12,2026-01-29
BOX-Rack-A1-L5-P1,SKU-4008,Reflective Vest,38,each,Industrial,0.6,2026-01-04
BOX-Rack-A1-L5-P2,SKU-3006,Spark Plug 4pk,26,pack,Automotive,0.8,2025-12-29
BOX-Rack-A1-L5-P3,SKU-4003,Hard Hat,44,each,Industrial,1.2,2026-01-13
BOX-Rack-A1-L6-P1,SKU-4004,Hex Bolt 1/2" 100pk,138,pack,Industrial,5,2026-01-09
BOX-Rack-A1-L6-P2,SKU-3005,Battery 12V,16,each,Automotive,45,2026-02-06
BOX-Rack-A1-L7-P1,SKU-3010,Jumper Cables,37,each,Automotive,4,2026-01-13
BOX-Rack-A1-L7-P1,SKU-4004,Hex Bolt 1/2" 100pk,141,pack,Industrial,5,2026-01-19
BOX-Rack-A1-L7-P2,SKU-3002,Air Filter,62,each,Automotive,1.5,2026-01-26
BOX-Rack-A2-L1-P1,SKU-1003,Smartphone,52,each,Electronics,0.4,2025-12-13
BOX-Rack-A2-L1-P2,SKU-1007,USB Cable Pack,144,pack,Electronics,0.2,2025-12-13
BOX-Rack-A2-L1-P3,SKU-1001,Laptop Computer,20,each,Electronics,5.5,2026-01-24
BOX-Rack-A2-L2-P1,SKU-1009,Webcam HD,40,each,Electronics,0.8,2026-01-31
BOX-Rack-A2-L2-P2,SKU-1005,Keyboard,53,each,Electronics,1.8,2026-01-20
BOX-Rack-A2-L2-P2,SKU-2008,Dinner Plates 12pk,45,pack,Home Goods,8,2026-01-02
BOX-Rack-A2-L2-P3,SKU-2001,Coffee Maker,11,each,Home Goods,8.5,2026-01-12
BOX-Rack-A2-L2-P3,SKU-2004,Bedding Set Queen,18,set,Home Goods,7,2026-02-06
BOX-Rack-A2-L3-P1,SKU-1004,Wireless Mouse,79,each,Electronics,0.3,2025-12-26
