element_type,element_id,name,x,y,z,width,depth,height,rotation,capacity,metadata
zone,Zone-A,Receiving Zone,200,30,0,100,50,15,0,1500,"{""floor"": 1, ""zone_type"": ""inbound"", ""priority"": ""high""}"
zone,Zone-B1,Fast-Pick Storage,183,120,0,56,120,20,0,1800,"{""floor"": 1, ""zone_type"": ""storage"", ""velocity"": ""high"", ""abc_class"": ""A"", ""purpose"": ""picking""}"
zone,Zone-B2,Reserve Storage - Medium,243,120,0,48,120,20,0,2000,"{""floor"": 1, ""zone_type"": ""storage"", ""velocity"": ""medium"", ""abc_class"": ""B"", ""purpose"": ""reserve""}"
zone,Zone-B3,Bulk Storage,317,120,0,84,120,20,0,2200,"{""floor"": 1, ""zone_type"": ""storage"", ""velocity"": ""low"", ""abc_class"": ""C"", ""purpose"": ""bulk"", ""storage_type"": ""high_density""}"
zone,Zone-D,Shipping Staging,330,30,0,100,50,12,0,800,"{""floor"": 1, ""zone_type"": ""outbound"", ""priority"": ""high""}"
aisle,Aisle-Main,Main Cross Aisle,253,180,0,196,15,0,0,,"{""type"": ""main""}"
aisle,Aisle-0,Picking Aisle 0,173,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-1,Picking Aisle 1,201,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-2,Picking Aisle 2,229,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-3,Picking Aisle 3,257,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-4,Picking Aisle 4,285,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-5,Picking Aisle 5,313,120,0,10,100,0,0,,"{""type"": ""picking""}"
aisle,Aisle-6,Picking Aisle 6,341,120,0,10,100,0,0,,"{""type"": ""picking""}"
rack,Rack-A1,Storage Rack A1,155,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-A2,Storage Rack A2,155,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-A3,Storage Rack A3,155,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-A4,Storage Rack A4,155,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-A5,Storage Rack A5,155,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-A6,Storage Rack A6,155,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B1,Storage Rack B1,163,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B2,Storage Rack B2,163,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B3,Storage Rack B3,163,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B4,Storage Rack B4,163,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B5,Storage Rack B5,163,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-B6,Storage Rack B6,163,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C1,Storage Rack C1,183,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C2,Storage Rack C2,183,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C3,Storage Rack C3,183,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C4,Storage Rack C4,183,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C5,Storage Rack C5,183,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-C6,Storage Rack C6,183,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D1,Storage Rack D1,191,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D2,Storage Rack D2,191,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D3,Storage Rack D3,191,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D4,Storage Rack D4,191,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D5,Storage Rack D5,191,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-D6,Storage Rack D6,191,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E1,Storage Rack E1,211,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E2,Storage Rack E2,211,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E3,Storage Rack E3,211,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E4,Storage Rack E4,211,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E5,Storage Rack E5,211,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-E6,Storage Rack E6,211,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F1,Storage Rack F1,219,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F2,Storage Rack F2,219,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F3,Storage Rack F3,219,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F4,Storage Rack F4,219,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F5,Storage Rack F5,219,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-F6,Storage Rack F6,219,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G1,Storage Rack G1,239,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G2,Storage Rack G2,239,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G3,Storage Rack G3,239,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G4,Storage Rack G4,239,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G5,Storage Rack G5,239,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-G6,Storage Rack G6,239,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H1,Storage Rack H1,247,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H2,Storage Rack H2,247,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H3,Storage Rack H3,247,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H4,Storage Rack H4,247,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H5,Storage Rack H5,247,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H6,Storage Rack H6,247,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I1,Storage Rack I1,267,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I2,Storage Rack I2,267,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I3,Storage Rack I3,267,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I4,Storage Rack I4,267,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I5,Storage Rack I5,267,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-I6,Storage Rack I6,267,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J1,Storage Rack J1,275,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J2,Storage Rack J2,275,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J3,Storage Rack J3,275,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J4,Storage Rack J4,275,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J5,Storage Rack J5,275,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-J6,Storage Rack J6,275,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H1-B,Storage Rack H1,295,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H2-B,Storage Rack H2,295,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H3-B,Storage Rack H3,295,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H4-B,Storage Rack H4,295,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H5-B,Storage Rack H5,295,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-H6-B,Storage Rack H6,295,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K1,Storage Rack K1,295,85,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K2,Storage Rack K2,295,100,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K3,Storage Rack K3,295,115,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K4,Storage Rack K4,295,130,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K5,Storage Rack K5,295,145,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-K6,Storage Rack K6,295,160,0,12,5,20,90,250,"{""levels"": 7}"
rack,Rack-L1,Storage Rack L1,303,85,0,12,5,20,90,250,"{""levels"": 7}"
